**                                  bottom                       top
**     x       y     phicB    as_x    as_y     phicT    as_x    as_y     phi_1     v_1     v_2
  3.5000  0.8333    -45.00 3.70302 1.26715      0.00 0.00000 0.00000     12.99  0.0098  0.0155
  3.3000  0.9000    -45.00 3.81761 1.26217      0.00 0.00000 0.00000     13.22  0.0099  0.0155
  3.5000  0.7000    -45.00 3.79556 1.43246      0.00 0.00000 0.00000     13.44  0.0099  0.0155
  3.7000  0.9000    -45.00 3.53429 1.06702      0.00 0.00000 0.00000     12.52  0.0097  0.0156
  3.1667  0.5000    -45.00 4.24267 1.34177      0.00 0.00000 0.00000     13.95 -0.0069 -0.0182
  3.1000  0.3000    -45.00 4.06584 0.98544     14.41 0.00000 0.05867     14.18 -0.0070 -0.0182
  3.3000  0.5000    -45.00 4.25647 1.34563      0.00 0.00000 0.00000     13.79 -0.0069 -0.0182
  3.1000  0.7000    -45.00 4.51757 1.82129      0.00 0.00000 0.00000     15.95 -0.0075 -0.0180
  4.5000  0.1667     45.00 3.54268 0.56434      0.00 0.00000 0.00000     -1.42  0.0077  0.0129
  4.7000  0.1000     45.00 3.45637 0.59635      0.00 0.00000 0.00000     -2.25  0.0075  0.0130
  4.5000  0.3000     45.00 3.48455 0.45292      0.00 0.00000 0.00000     -1.52  0.0077  0.0129
  4.3000  0.1000     45.00 3.71862 0.73517      0.00 0.00000 0.00000     -1.32  0.0077  0.0129
  4.8333  0.5000     45.00 3.28366 0.79419      0.00 0.00000 0.00000     -5.97  0.0075 -0.0154
  4.9000  0.3000     45.00 3.11021 0.47399      0.00 0.00000 0.00000     -6.77  0.0077 -0.0153
  4.9000  0.7000     45.00 3.50366 1.21647      0.00 0.00000 0.00000     -8.23  0.0081 -0.0151
  4.7000  0.5000     45.00 3.32485 0.81034      0.00 0.00000 0.00000     -5.61  0.0074 -0.0154
  4.5000  0.8333     45.00 2.94428 0.74292      0.00 0.00000 0.00000     -2.84  0.0036  0.0163
  4.3000  0.9000     45.00 2.94997 0.65557      0.00 0.00000 0.00000     -1.98  0.0039  0.0162
  4.5000  0.7000     45.00 3.01623 0.88223      0.00 0.00000 0.00000     -2.66  0.0037  0.0162
  4.7000  0.9000     45.00 2.86217 0.61228      0.00 0.00000 0.00000     -3.42  0.0035  0.0163
  4.1667  0.5000    -45.00 3.40534 0.73032      0.00 0.00000 0.00000      2.88  0.0014 -0.0221
  4.1000  0.3000    -45.00 3.24340 0.34625      0.00 0.00000 0.00000      4.19  0.0009 -0.0221
  4.3000  0.5000    -45.00 3.37632 0.71163      0.00 0.00000 0.00000      2.76  0.0014 -0.0221
  4.1000  0.7000    -45.00 3.74264 1.27289      0.00 0.00000 0.00000      4.71  0.0007 -0.0221
  5.5000  0.1667     45.00 3.13526 0.92876      0.00 0.00000 0.00000    -13.83  0.0137  0.0116
  5.7000  0.1000     45.00 2.89543 0.84822      0.00 0.00000 0.00000    -15.74  0.0133  0.0121
  5.5000  0.3000     45.00 3.10672 0.86697      0.00 0.00000 0.00000    -13.91  0.0137  0.0117
  5.3000  0.1000     45.00 3.47775 1.18410      0.00 0.00000 0.00000    -13.80  0.0137  0.0116
  5.8333  0.5000     45.00 2.79309 1.05544      0.00 0.00000 0.00000    -19.12  0.0104 -0.0054
  5.9000  0.3000     45.00 2.66510 0.86230    -19.97 0.00000 0.10564    -19.12  0.0104 -0.0054
  5.9000  0.7000     45.00 2.89104 1.29047      0.00 0.00000 0.00000    -21.33  0.0106 -0.0050
  5.7000  0.5000     45.00 2.85589 1.08438      0.00 0.00000 0.00000    -18.62  0.0103 -0.0055
  5.5000  0.8333     45.00 2.73872 1.04977      0.00 0.00000 0.00000    -17.82  0.0066  0.0141
  5.3000  0.9000     45.00 2.86546 1.06030      0.00 0.00000 0.00000    -16.20  0.0070  0.0139
  5.5000  0.7000     45.00 2.78044 1.13876      0.00 0.00000 0.00000    -17.84  0.0066  0.0141
  5.7000  0.9000     45.00 2.53458 0.86164      0.00 0.00000 0.00000    -18.08  0.0066  0.0141
  5.1667  0.5000     45.00 3.00071 0.84828      0.00 0.00000 0.00000    -10.66  0.0077 -0.0158
  5.1000  0.3000     45.00 2.77769 0.44432      0.00 0.00000 0.00000     -8.54  0.0072 -0.0161
  5.3000  0.5000     45.00 2.95889 0.82616      0.00 0.00000 0.00000    -10.79  0.0078 -0.0158
  5.1000  0.7000     45.00 3.18265 1.16701      0.00 0.00000 0.00000    -10.20  0.0076 -0.0158
  6.5000  0.1667     45.00 1.86892 0.99033    -39.81 0.00000 0.56703    -31.33  0.0212  0.0149
  6.7000  0.1000     45.00 1.44238 0.76859    -45.00 0.37230 1.04609    -34.82  0.0202  0.0162
  6.5000  0.3000     45.00 1.87981 0.99420    -40.71 0.00000 0.62314    -31.50  0.0211  0.0150
  6.3000  0.1000     45.00 2.41159 1.34456    -30.84 0.00000 0.09495    -29.69  0.0216  0.0143
  6.8333  0.5000     45.00 1.42368 0.99022    -45.00 0.29955 0.73301    -37.94  0.0086  0.0075
  6.9000  0.3000     45.00 1.34334 0.94809    -45.00 0.35774 0.75300    -38.46  0.0085  0.0076
  6.9000  0.7000     45.00 1.37013 0.99788    -45.00 0.40783 0.78008    -39.09  0.0084  0.0077
  6.7000  0.5000     45.00 1.51971 1.03869    -45.00 0.18597 0.66698    -37.13  0.0087  0.0074
  6.5000  0.8333     45.00 1.74587 1.05022    -45.00 0.00503 0.70068    -34.17  0.0133  0.0152
  6.3000  0.9000     45.00 2.04239 1.19622    -34.79 0.00000 0.22275    -31.60  0.0140  0.0146
  6.5000  0.7000     45.00 1.74641 1.07176    -43.49 0.00000 0.58479    -34.18  0.0133  0.0152
  6.7000  0.9000     45.00 1.36835 0.77829    -45.00 0.34065 0.93071    -35.48  0.0129  0.0155
  6.1667  0.5000     45.00 2.09417 0.95999    -30.12 0.00000 0.25440    -26.79  0.0115 -0.0050
  6.1000  0.3000     45.00 1.99991 0.74977    -29.94 0.00000 0.40130    -24.73  0.0114 -0.0054
  6.3000  0.5000     45.00 2.01600 0.91534    -31.42 0.00000 0.31600    -27.13  0.0116 -0.0050
  6.1000  0.7000     45.00 2.24654 1.15736      0.00 0.00000 0.00000    -27.15  0.0116 -0.0050
  0.5000  1.1667    -45.00 2.69327 3.86140     46.10 1.02279 0.00000     53.57 -0.0075  0.0328
  0.7000  1.1000    -45.00 3.29262 4.31402     51.28 0.16586 0.00000     52.45 -0.0082  0.0327
  0.5000  1.3000    -45.00 2.66323 3.77559     45.00 1.19785 0.08549     53.04 -0.0078  0.0327
  0.3000  1.1000    -45.00 2.24822 3.67703     45.00 1.67921 0.25040     55.00 -0.0067  0.0330
  0.8333  1.5000    -45.00 1.76723 2.95680     48.46 0.85270 0.00000     56.59  0.0092 -0.0264
  0.9000  1.3000    -45.00 1.43997 2.54341     45.00 1.22340 0.11996     56.25  0.0093 -0.0264
  0.9000  1.7000    -45.00 1.53462 3.04895     55.53 0.55786 0.00000     60.69  0.0073 -0.0270
  0.7000  1.5000    -45.00 2.08560 3.16181     49.36 0.62787 0.00000     55.11  0.0099 -0.0262
  0.5000  1.8333    -45.00 1.53168 3.39839     56.71 0.69863 0.00000     62.36  0.0165  0.0047
  0.3000  1.9000    -45.00 1.30780 3.24841     56.87 0.81115 0.00000     63.55  0.0166  0.0043
  0.5000  1.7000    -45.00 1.70399 3.63805     56.90 0.66685 0.00000     61.98  0.0165  0.0048
  0.7000  1.9000    -45.00 1.49748 3.14902     57.45 0.51151 0.00000     61.97  0.0165  0.0048
  0.1667  1.5000    -45.00 2.37463 4.22532     54.21 0.67129 0.00000     58.80 -0.0103 -0.0341
  0.1000  1.3000    -45.00 2.30184 3.90562     48.54 1.14905 0.00000     56.82 -0.0092 -0.0344
  0.3000  1.5000    -45.00 2.20616 4.15370     52.10 1.02656 0.00000     59.09 -0.0105 -0.0340
  0.1000  1.7000    -45.00 2.80236 4.69414      0.00 0.00000 0.00000     59.17 -0.0106 -0.0340
  1.5000  1.1667    -45.00 3.48622 2.67913      0.00 0.00000 0.00000     36.66 -0.0150  0.0148
  1.7000  1.1000    -45.00 4.02929 3.01304      0.00 0.00000 0.00000     35.18 -0.0154  0.0144
  1.5000  1.3000    -45.00 3.45564 2.63644      0.00 0.00000 0.00000     36.44 -0.0151  0.0147
  1.3000  1.1000    -45.00 3.11391 2.54256     40.45 0.00000 0.11185     39.36 -0.0143  0.0155
  1.8333  1.5000    -45.00 3.31290 1.80725      0.00 0.00000 0.00000     28.04  0.0337  0.0030
  1.9000  1.3000    -45.00 3.40834 2.15227      0.00 0.00000 0.00000     31.16  0.0338  0.0012
  1.9000  1.7000    -45.00 2.90479 1.39648     31.46 0.00000 0.37984     27.81  0.0337  0.0031
  1.7000  1.5000    -45.00 3.59308 1.97021      0.00 0.00000 0.00000     27.29  0.0336  0.0034
  1.5000  1.8333    -45.00 2.69131 1.81689      0.00 0.00000 0.00000     27.86 -0.0369  0.0265
  1.3000  1.9000    -45.00 1.55732 1.10802      0.00 0.00000 0.00000     32.72 -0.0345  0.0296
  1.5000  1.7000    -45.00 2.74315 1.89503      0.00 0.00000 0.00000     28.69 -0.0365  0.0271
  1.7000  1.9000    -45.00 3.48478 2.12691      0.00 0.00000 0.00000     17.35 -0.0411  0.0194
  1.1667  1.5000    -45.00 3.16731 3.00250      0.00 0.00000 0.00000     43.01  0.0095 -0.0264
  1.1000  1.3000    -45.00 3.25639 2.88179      0.00 0.00000 0.00000     40.76  0.0105 -0.0260
  1.3000  1.5000    -45.00 2.94609 2.88493      0.00 0.00000 0.00000     44.26  0.0089 -0.0266
  1.1000  1.7000    -45.00 3.46352 3.29211      0.00 0.00000 0.00000     42.91  0.0095 -0.0264
  2.5000  1.1667    -45.00 4.17242 2.16378      0.00 0.00000 0.00000     23.25 -0.0064 -0.0068
  2.7000  1.1000    -45.00 4.28405 2.18366      0.00 0.00000 0.00000     23.13 -0.0064 -0.0068
  2.5000  1.3000    -45.00 4.20372 2.23113      0.00 0.00000 0.00000     23.33 -0.0064 -0.0068
  2.3000  1.1000    -45.00 4.06900 2.07733      0.00 0.00000 0.00000     23.50 -0.0064 -0.0068
  2.8333  1.5000    -45.00 4.73658 2.87905      0.00 0.00000 0.00000     26.24 -0.0382 -0.0158
  2.9000  1.3000    -45.00 4.52632 2.41313      0.00 0.00000 0.00000     23.79 -0.0375 -0.0174
  2.9000  1.7000    -45.00 5.28937 3.45014      0.00 0.00000 0.00000     26.80 -0.0383 -0.0154
  2.7000  1.5000    -45.00 4.41630 2.67037      0.00 0.00000 0.00000     26.23 -0.0382 -0.0158
  2.5000  1.8333    -45.00 4.82204 2.94575      0.00 0.00000 0.00000     29.56 -0.0033 -0.0043
  2.3000  1.9000    -45.00 5.09483 3.07744      0.00 0.00000 0.00000     29.34 -0.0033 -0.0044
  2.5000  1.7000    -45.00 4.71189 2.81120      0.00 0.00000 0.00000     28.67 -0.0032 -0.0044
  2.7000  1.9000    -45.00 4.76050 3.07648      0.00 0.00000 0.00000     31.66 -0.0034 -0.0042
  2.1667  1.5000    -45.00 3.96424 1.93760      0.00 0.00000 0.00000     23.87 -0.0196  0.0313
  2.1000  1.3000    -45.00 3.93614 2.12774      0.00 0.00000 0.00000     24.79 -0.0191  0.0316
  2.3000  1.5000    -45.00 4.19560 2.04023      0.00 0.00000 0.00000     22.32 -0.0205  0.0308
  2.1000  1.7000    -45.00 3.58510 1.60640     25.68 0.00000 0.11696     24.82 -0.0191  0.0316
  3.5000  1.1667    -45.00 3.80197 2.21098      0.00 0.00000 0.00000     17.82  0.0178  0.0291
  3.7000  1.1000    -45.00 3.73757 2.30182      0.00 0.00000 0.00000     18.12  0.0179  0.0291
  3.5000  1.3000    -45.00 3.60410 1.87346      0.00 0.00000 0.00000     15.95  0.0168  0.0297
  3.3000  1.1000    -45.00 4.03813 2.58286      0.00 0.00000 0.00000     20.64  0.0192  0.0282
  3.8333  1.5000    -45.00 2.94775 1.77189      0.00 0.00000 0.00000     11.49 -0.0047 -0.0216
  3.9000  1.3000    -45.00 2.62480 1.23545      0.00 0.00000 0.00000      7.13 -0.0031 -0.0219
  3.9000  1.7000    -45.00 3.13588 2.16853      0.00 0.00000 0.00000     10.09 -0.0042 -0.0217
  3.7000  1.5000    -45.00 2.94851 1.77406      0.00 0.00000 0.00000     11.66 -0.0048 -0.0216
  3.5000  1.8333    -45.00 2.52710 1.95520      0.00 0.00000 0.00000     31.62  0.0023  0.0415
  3.3000  1.9000    -45.00 2.17807 1.54499      0.00 0.00000 0.00000     31.44  0.0021  0.0415
  3.5000  1.7000    -45.00 2.67027 2.25111      0.00 0.00000 0.00000     34.12  0.0041  0.0414
  3.7000  1.9000    -45.00 2.69085 1.85991      0.00 0.00000 0.00000     24.96 -0.0026  0.0415
  3.1667  1.5000    -45.00 3.51998 2.54191      0.00 0.00000 0.00000     32.35 -0.0142 -0.0155
  3.1000  1.3000    -45.00 3.37439 2.09726      0.00 0.00000 0.00000     30.64 -0.0137 -0.0159
  3.3000  1.5000    -45.00 3.49068 2.49652      0.00 0.00000 0.00000     31.43 -0.0139 -0.0157
  3.1000  1.7000    -45.00 3.88192 3.23817      0.00 0.00000 0.00000     37.36 -0.0155 -0.0142
  4.5000  1.1667     45.00 3.05292 1.46831      0.00 0.00000 0.00000     -4.43  0.0034  0.0171
  4.7000  1.1000     45.00 3.04904 1.55515      0.00 0.00000 0.00000     -5.70  0.0030  0.0172
  4.5000  1.3000     45.00 2.98115 1.32617      0.00 0.00000 0.00000     -4.71  0.0033  0.0171
  4.3000  1.1000     45.00 3.12943 1.60179      0.00 0.00000 0.00000     -3.47  0.0037  0.0170
  4.8333  1.5000     45.00 2.81648 1.56810      0.00 0.00000 0.00000    -16.42  0.0158 -0.0068
  4.9000  1.3000     45.00 2.63275 1.29876      0.00 0.00000 0.00000    -16.68  0.0159 -0.0068
  4.9000  1.7000     45.00 2.93840 1.89371      0.00 0.00000 0.00000    -21.42  0.0164 -0.0054
  4.7000  1.5000     45.00 2.91796 1.61357      0.00 0.00000 0.00000    -15.15  0.0157 -0.0072
  4.5000  1.8333     45.00 2.52722 1.66069      0.00 0.00000 0.00000    -18.74 -0.0091  0.0182
  4.3000  1.9000     45.00 2.38242 1.48584      0.00 0.00000 0.00000    -17.99 -0.0088  0.0183
  4.5000  1.7000     45.00 2.61265 1.83050      0.00 0.00000 0.00000    -19.44 -0.0093  0.0181
  4.7000  1.9000     45.00 2.63571 1.62320      0.00 0.00000 0.00000    -18.96 -0.0091  0.0182
  4.1667  1.5000    -45.00 2.75867 1.56500      0.00 0.00000 0.00000      2.49  0.0090 -0.0220
  4.1000  1.3000    -45.00 2.66604 1.21047      0.00 0.00000 0.00000      5.73  0.0077 -0.0225
  4.3000  1.5000    -45.00 2.65629 1.50424      0.00 0.00000 0.00000      2.05  0.0091 -0.0219
  4.1000  1.7000    -45.00 3.13482 2.11830      0.00 0.00000 0.00000      6.29  0.0075 -0.0226
  5.5000  1.1667     45.00 2.80498 1.52074      0.00 0.00000 0.00000    -21.73  0.0069  0.0132
  5.7000  1.1000     45.00 2.66935 1.48127      0.00 0.00000 0.00000    -23.34  0.0066  0.0134
  5.5000  1.3000     45.00 2.78094 1.45659      0.00 0.00000 0.00000    -21.88  0.0069  0.0132
  5.3000  1.1000     45.00 2.99356 1.69806      0.00 0.00000 0.00000    -21.33  0.0070  0.0131
  5.8333  1.5000     45.00 2.52550 1.52029      0.00 0.00000 0.00000    -29.29  0.0179  0.0036
  5.9000  1.3000     45.00 2.34510 1.34108      0.00 0.00000 0.00000    -29.32  0.0179  0.0036
  5.9000  1.7000     45.00 2.53642 1.68219      0.00 0.00000 0.00000    -32.09  0.0177  0.0044
  5.7000  1.5000     45.00 2.67396 1.59614      0.00 0.00000 0.00000    -28.20  0.0180  0.0032
  5.5000  1.8333     45.00 2.60063 1.71443      0.00 0.00000 0.00000    -31.13 -0.0027  0.0136
  5.3000  1.9000     45.00 2.61060 1.66713      0.00 0.00000 0.00000    -30.21 -0.0025  0.0137
  5.5000  1.7000     45.00 2.64493 1.81289      0.00 0.00000 0.00000    -31.56 -0.0028  0.0136
  5.7000  1.9000     45.00 2.55365 1.61123      0.00 0.00000 0.00000    -30.85 -0.0026  0.0136
  5.1667  1.5000     45.00 2.80505 1.64709      0.00 0.00000 0.00000    -21.89  0.0175 -0.0059
  5.1000  1.3000     45.00 2.68999 1.34140      0.00 0.00000 0.00000    -17.83  0.0170 -0.0071
  5.3000  1.5000     45.00 2.68484 1.58569      0.00 0.00000 0.00000    -22.88  0.0176 -0.0056
  5.1000  1.7000     45.00 3.01398 1.92241      0.00 0.00000 0.00000    -22.12  0.0175 -0.0058
  6.5000  1.1667     45.00 1.74403 1.18816    -43.64 0.00000 0.47524    -35.96  0.0151  0.0137
  6.7000  1.1000     45.00 1.43388 1.00270    -45.00 0.31667 0.74785    -38.08  0.0146  0.0143
  6.5000  1.3000     45.00 1.76779 1.20280    -45.00 0.00588 0.57087    -36.17  0.0150  0.0138
  6.3000  1.1000     45.00 2.10397 1.44329    -35.06 0.00000 0.03338    -34.58  0.0154  0.0134
  6.8333  1.5000     45.00 1.37801 1.09794    -45.00 0.59951 0.87958    -40.97  0.0164  0.0147
  6.9000  1.3000     45.00 1.20324 1.01305    -45.00 0.70872 0.89891    -42.16  0.0161  0.0151
  6.9000  1.7000     45.00 1.27114 1.09333    -45.00 0.78929 0.96710    -42.53  0.0160  0.0152
  6.7000  1.5000     45.00 1.57593 1.20394    -45.00 0.39221 0.76420    -39.65  0.0168  0.0144
  6.5000  1.8333     45.00 1.85347 1.43340    -45.00 0.37026 0.79033    -39.65  0.0066  0.0127
  6.3000  1.9000     45.00 2.02967 1.52736    -45.00 0.16847 0.67078    -38.56  0.0068  0.0126
  6.5000  1.7000     45.00 1.85062 1.45366    -45.00 0.31072 0.70767    -39.80  0.0065  0.0127
  6.7000  1.9000     45.00 1.64571 1.25916    -45.00 0.58998 0.97654    -40.10  0.0065  0.0128
  6.1667  1.5000     45.00 2.13922 1.45079    -35.84 0.00000 0.09424    -34.50  0.0190  0.0054
  6.1000  1.3000     45.00 2.13705 1.30364    -33.11 0.00000 0.08996    -31.86  0.0192  0.0045
  6.3000  1.5000     45.00 1.96971 1.35933    -40.06 0.00000 0.29670    -35.63  0.0189  0.0058
  6.1000  1.7000     45.00 2.34463 1.63753      0.00 0.00000 0.00000    -34.35  0.0190  0.0053
  0.5000  2.1667    -45.00 1.66349 4.91438      0.00 0.00000 0.00000     72.40 -0.0096 -0.0005
  0.7000  2.1000    -45.00 1.74781 4.91524      0.00 0.00000 0.00000     71.65 -0.0096 -0.0006
  0.5000  2.3000    -45.00 1.70040 4.99044      0.00 0.00000 0.00000     72.68 -0.0096 -0.0005
  0.3000  2.1000    -45.00 1.57465 4.82647      0.00 0.00000 0.00000     72.37 -0.0096 -0.0005
  0.8333  2.5000    -45.00 2.30769 5.63324      0.00 0.00000 0.00000     70.53 -0.0292  0.0133
  0.9000  2.3000    -45.00 2.16846 5.31018      0.00 0.00000 0.00000     70.12 -0.0293  0.0131
  0.9000  2.7000    -45.00 2.74166 6.05742      0.00 0.00000 0.00000     70.10 -0.0293  0.0131
  0.7000  2.5000    -45.00 2.04345 5.46416      0.00 0.00000 0.00000     71.57 -0.0290  0.0139
  0.5000  2.8333    -45.00 2.12931 5.71032      0.00 0.00000 0.00000     69.96 -0.0124  0.0167
  0.3000  2.9000    -45.00 1.93410 5.56150     69.23 0.17381 0.00000     69.93 -0.0124  0.0167
  0.5000  2.7000    -45.00 2.02050 5.58040      0.00 0.00000 0.00000     70.64 -0.0122  0.0168
  0.7000  2.9000    -45.00 2.41573 5.99902      0.00 0.00000 0.00000     69.57 -0.0125  0.0166
  0.1667  2.5000    -45.00 1.45503 4.97123     70.80 0.27318 0.00000     71.93 -0.0087  0.0242
  0.1000  2.3000    -45.00 1.26706 4.82601     70.17 0.46905 0.00000     72.15 -0.0086  0.0242
  0.3000  2.5000    -45.00 1.65887 5.06994     71.83 0.00505 0.00000     71.85 -0.0087  0.0241
  0.1000  2.7000    -45.00 1.38268 5.07519     69.81 0.47958 0.00000     71.76 -0.0088  0.0241
  3.5000  2.1667    -45.00 2.58638 3.43917      0.00 0.00000 0.00000     69.73  0.0144  0.0165
  3.7000  2.1000    -45.00 3.12306 3.79642      0.00 0.00000 0.00000     63.06  0.0124  0.0181
  3.5000  2.3000    -45.00 2.40628 3.17905      0.00 0.00000 0.00000     72.05  0.0151  0.0159
  3.3000  2.1000    -45.00 2.38795 3.58592      0.00 0.00000 0.00000     69.33  0.0143  0.0166
  3.8333  2.5000     45.00 1.91124 2.37494      0.00 0.00000 0.00000    -61.69  0.0297  0.0379
  3.9000  2.3000     45.00 1.43957 2.05189      0.00 0.00000 0.00000    -68.44  0.0251  0.0411
  3.9000  2.7000     45.00 1.78476 2.51607      0.00 0.00000 0.00000    -64.58  0.0278  0.0393
  3.7000  2.5000     45.00 2.35806 2.62249      0.00 0.00000 0.00000    -55.09  0.0339  0.0342
  3.5000  2.8333     45.00 2.20430 3.02386      0.00 0.00000 0.00000    -63.05 -0.0255 -0.0002
  3.3000  2.9000     45.00 1.88647 2.75815      0.00 0.00000 0.00000    -63.35 -0.0255 -0.0003
  3.5000  2.7000     45.00 2.29641 3.21094      0.00 0.00000 0.00000    -65.14 -0.0254 -0.0011
  3.7000  2.9000     45.00 2.54069 3.10915      0.00 0.00000 0.00000    -56.63 -0.0253  0.0027
