 element       force
       1    500.0000
       2     -0.0000
       3    500.0000
       4    187.5000
       5    500.0000
       6    500.0000
       7    500.0000
       8      0.0000
       9     -2.5000
      10    -35.2172
      11    -31.2152
      12     -3.5355
      13      0.0000
      14     -2.5769
