Time,   1.0000
    23,  EL1,      MATEL,   TAX3,   0,     0.6111,    0.0000, -8.759419e-05, -4.452060e-04, -8.759419e+00, -4.452060e+01,
    23,  EL1,      MATEL,   TAX3,   1,     0.6139,    0.0000, -9.032326e-05, -4.435420e-04, -9.032326e+00, -4.435420e+01,
    24,  EL1,      MATEL,   TAX3,   0,     0.6161,    0.0000, -9.048834e-05, -4.423198e-04, -9.048834e+00, -4.423198e+01,
    24,  EL1,      MATEL,   TAX3,   1,     0.6189,    0.0000, -9.316165e-05, -4.406959e-04, -9.316165e+00, -4.406959e+01,
    25,  EL1,      MATEL,   TAX3,   0,     0.6211,    0.0000, -9.331285e-05, -4.395030e-04, -9.331285e+00, -4.395030e+01,
    25,  EL1,      MATEL,   TAX3,   1,     0.6239,    0.0000, -9.593210e-05, -4.379178e-04, -9.593210e+00, -4.379178e+01,
    26,  EL1,      MATEL,   TAX3,   0,     0.6261,    0.0000, -9.606994e-05, -4.367534e-04, -9.606994e+00, -4.367534e+01,
    26,  EL1,      MATEL,   TAX3,   1,     0.6289,    0.0000, -9.863676e-05, -4.352058e-04, -9.863676e+00, -4.352058e+01,
    27,  EL1,      MATEL,   TAX3,   0,     0.6311,    0.0000, -9.876173e-05, -4.340689e-04, -9.876173e+00, -4.340689e+01,
    27,  EL1,      MATEL,   TAX3,   1,     0.6339,    0.0000, -1.012777e-04, -4.325577e-04, -1.012777e+01, -4.325577e+01,
    28,  EL1,      MATEL,   TAX3,   0,     0.6361,    0.0000, -1.013903e-04, -4.314475e-04, -1.013903e+01, -4.314475e+01,
    28,  EL1,      MATEL,   TAX3,   1,     0.6389,    0.0000, -1.038569e-04, -4.299715e-04, -1.038569e+01, -4.299715e+01,
    29,  EL1,      MATEL,   TAX3,   0,     0.6411,    0.0000, -1.039575e-04, -4.288871e-04, -1.039575e+01, -4.288871e+01,
    29,  EL1,      MATEL,   TAX3,   1,     0.6439,    0.0000, -1.063763e-04, -4.274453e-04, -1.063763e+01, -4.274453e+01,
    30,  EL1,      MATEL,   TAX3,   0,     0.6461,    0.0000, -1.064654e-04, -4.263860e-04, -1.064654e+01, -4.263860e+01,
    30,  EL1,      MATEL,   TAX3,   1,     0.6489,    0.0000, -1.088376e-04, -4.249773e-04, -1.088376e+01, -4.249773e+01,
    31,  EL1,      MATEL,   TAX3,   0,     0.6511,    0.0000, -1.089157e-04, -4.239423e-04, -1.089157e+01, -4.239423e+01,
    31,  EL1,      MATEL,   TAX3,   1,     0.6539,    0.0000, -1.112428e-04, -4.225657e-04, -1.112428e+01, -4.225657e+01,
    32,  EL1,      MATEL,   TAX3,   0,     0.6561,    0.0000, -1.113102e-04, -4.215542e-04, -1.113102e+01, -4.215542e+01,
    32,  EL1,      MATEL,   TAX3,   1,     0.6589,    0.0000, -1.135934e-04, -4.202088e-04, -1.135934e+01, -4.202088e+01,
    33,  EL1,      MATEL,   TAX3,   0,     0.6611,    0.0000, -1.136505e-04, -4.192201e-04, -1.136505e+01, -4.192201e+01,
    33,  EL1,      MATEL,   TAX3,   1,     0.6639,    0.0000, -1.158911e-04, -4.179049e-04, -1.158911e+01, -4.179049e+01,
    34,  EL1,      MATEL,   TAX3,   0,     0.6661,    0.0000, -1.159384e-04, -4.169384e-04, -1.159384e+01, -4.169384e+01,
    34,  EL1,      MATEL,   TAX3,   1,     0.6689,    0.0000, -1.181376e-04, -4.156525e-04, -1.181376e+01, -4.156525e+01,
    35,  EL1,      MATEL,   TAX3,   0,     0.6711,    0.0000, -1.181752e-04, -4.147075e-04, -1.181752e+01, -4.147075e+01,
    35,  EL1,      MATEL,   TAX3,   1,     0.6739,    0.0000, -1.203342e-04, -4.134500e-04, -1.203342e+01, -4.134500e+01,
    36,  EL1,      MATEL,   TAX3,   0,     0.6761,    0.0000, -1.203626e-04, -4.125259e-04, -1.203626e+01, -4.125259e+01,
    36,  EL1,      MATEL,   TAX3,   1,     0.6789,    0.0000, -1.224824e-04, -4.112960e-04, -1.224824e+01, -4.112960e+01,
    37,  EL1,      MATEL,   TAX3,   0,     0.6811,    0.0000, -1.225020e-04, -4.103922e-04, -1.225020e+01, -4.103922e+01,
    37,  EL1,      MATEL,   TAX3,   1,     0.6839,    0.0000, -1.245838e-04, -4.091891e-04, -1.245838e+01, -4.091891e+01,
    38,  EL1,      MATEL,   TAX3,   0,     0.6861,    0.0000, -1.245948e-04, -4.083049e-04, -1.245948e+01, -4.083049e+01,
    38,  EL1,      MATEL,   TAX3,   1,     0.6889,    0.0000, -1.266395e-04, -4.071279e-04, -1.266395e+01, -4.071279e+01,
    39,  EL1,      MATEL,   TAX3,   0,     0.6911,    0.0000, -1.266423e-04, -4.062628e-04, -1.266423e+01, -4.062628e+01,
    39,  EL1,      MATEL,   TAX3,   1,     0.6939,    0.0000, -1.286510e-04, -4.051111e-04, -1.286510e+01, -4.051111e+01,
    40,  EL1,      MATEL,   TAX3,   0,     0.6961,    0.0000, -1.286458e-04, -4.042646e-04, -1.286458e+01, -4.042646e+01,
    40,  EL1,      MATEL,   TAX3,   1,     0.6989,    0.0000, -1.306195e-04, -4.031374e-04, -1.306195e+01, -4.031374e+01,
    41,  EL1,      MATEL,   TAX3,   0,     0.7011,    0.0000, -1.306066e-04, -4.023089e-04, -1.306066e+01, -4.023089e+01,
    41,  EL1,      MATEL,   TAX3,   1,     0.7039,    0.0000, -1.325462e-04, -4.012056e-04, -1.325462e+01, -4.012056e+01,
    42,  EL1,      MATEL,   TAX3,   0,     0.7061,    0.0000, -1.325259e-04, -4.003947e-04, -1.325259e+01, -4.003947e+01,
    42,  EL1,      MATEL,   TAX3,   1,     0.7089,    0.0000, -1.344323e-04, -3.993145e-04, -1.344323e+01, -3.993145e+01,
    43,  EL1,      MATEL,   TAX3,   0,     0.7111,    0.0000, -1.344048e-04, -3.985207e-04, -1.344048e+01, -3.985207e+01,
    43,  EL1,      MATEL,   TAX3,   1,     0.7139,    0.0000, -1.362790e-04, -3.974631e-04, -1.362790e+01, -3.974631e+01,
    44,  EL1,      MATEL,   TAX3,   0,     0.7161,    0.0000, -1.362446e-04, -3.966857e-04, -1.362446e+01, -3.966857e+01,
    44,  EL1,      MATEL,   TAX3,   1,     0.7189,    0.0000, -1.380872e-04, -3.956501e-04, -1.380872e+01, -3.956501e+01,
    45,  EL1,      MATEL,   TAX3,   0,     0.7211,    0.0000, -1.380461e-04, -3.948889e-04, -1.380461e+01, -3.948889e+01,
    45,  EL1,      MATEL,   TAX3,   1,     0.7239,    0.0000, -1.398581e-04, -3.938746e-04, -1.398581e+01, -3.938746e+01,
    46,  EL1,      MATEL,   TAX3,   0,     0.7261,    0.0000, -1.398106e-04, -3.931290e-04, -1.398106e+01, -3.931290e+01,
    46,  EL1,      MATEL,   TAX3,   1,     0.7289,    0.0000, -1.415927e-04, -3.921355e-04, -1.415927e+01, -3.921355e+01,
    47,  EL1,      MATEL,   TAX3,   0,     0.7311,    0.0000, -1.415390e-04, -3.914051e-04, -1.415390e+01, -3.914051e+01,
    47,  EL1,      MATEL,   TAX3,   1,     0.7339,    0.0000, -1.432919e-04, -3.904318e-04, -1.432919e+01, -3.904318e+01,
    48,  EL1,      MATEL,   TAX3,   0,     0.7361,    0.0000, -1.432322e-04, -3.897163e-04, -1.432322e+01, -3.897163e+01,
    48,  EL1,      MATEL,   TAX3,   1,     0.7389,    0.0000, -1.449568e-04, -3.887625e-04, -1.449568e+01, -3.887625e+01,
    49,  EL1,      MATEL,   TAX3,   0,     0.7411,    0.0000, -1.448914e-04, -3.880614e-04, -1.448914e+01, -3.880614e+01,
    49,  EL1,      MATEL,   TAX3,   1,     0.7439,    0.0000, -1.465883e-04, -3.871269e-04, -1.465883e+01, -3.871269e+01,
    50,  EL1,      MATEL,   TAX3,   0,     0.7461,    0.0000, -1.465172e-04, -3.864398e-04, -1.465172e+01, -3.864398e+01,
    50,  EL1,      MATEL,   TAX3,   1,     0.7489,    0.0000, -1.481871e-04, -3.855238e-04, -1.481871e+01, -3.855238e+01,
    51,  EL1,      MATEL,   TAX3,   0,     0.7511,    0.0000, -1.481107e-04, -3.848504e-04, -1.481107e+01, -3.848504e+01,
    51,  EL1,      MATEL,   TAX3,   1,     0.7539,    0.0000, -1.497543e-04, -3.839526e-04, -1.497543e+01, -3.839526e+01,
    52,  EL1,      MATEL,   TAX3,   0,     0.7561,    0.0000, -1.496727e-04, -3.832925e-04, -1.496727e+01, -3.832925e+01,
    52,  EL1,      MATEL,   TAX3,   1,     0.7589,    0.0000, -1.512906e-04, -3.824123e-04, -1.512906e+01, -3.824123e+01,
    53,  EL1,      MATEL,   TAX3,   0,     0.7611,    0.0000, -1.512040e-04, -3.817651e-04, -1.512040e+01, -3.817651e+01,
    53,  EL1,      MATEL,   TAX3,   1,     0.7639,    0.0000, -1.527969e-04, -3.809021e-04, -1.527969e+01, -3.809021e+01,
    54,  EL1,      MATEL,   TAX3,   0,     0.7661,    0.0000, -1.527054e-04, -3.802676e-04, -1.527054e+01, -3.802676e+01,
    54,  EL1,      MATEL,   TAX3,   1,     0.7689,    0.0000, -1.542739e-04, -3.794214e-04, -1.542739e+01, -3.794214e+01,
    55,  EL1,      MATEL,   TAX3,   0,     0.7711,    0.0000, -1.541777e-04, -3.787991e-04, -1.541777e+01, -3.787991e+01,
    55,  EL1,      MATEL,   TAX3,   1,     0.7739,    0.0000, -1.557223e-04, -3.779692e-04, -1.557223e+01, -3.779692e+01,
    56,  EL1,      MATEL,   TAX3,   0,     0.7761,    0.0000, -1.556216e-04, -3.773589e-04, -1.556216e+01, -3.773589e+01,
    56,  EL1,      MATEL,   TAX3,   1,     0.7789,    0.0000, -1.571429e-04, -3.765449e-04, -1.571429e+01, -3.765449e+01,
    57,  EL1,      MATEL,   TAX3,   0,     0.7811,    0.0000, -1.570379e-04, -3.759463e-04, -1.570379e+01, -3.759463e+01,
    57,  EL1,      MATEL,   TAX3,   1,     0.7839,    0.0000, -1.585365e-04, -3.751477e-04, -1.585365e+01, -3.751477e+01,
    58,  EL1,      MATEL,   TAX3,   0,     0.7861,    0.0000, -1.584272e-04, -3.745605e-04, -1.584272e+01, -3.745605e+01,
    58,  EL1,      MATEL,   TAX3,   1,     0.7889,    0.0000, -1.599036e-04, -3.737771e-04, -1.599036e+01, -3.737771e+01,
    59,  EL1,      MATEL,   TAX3,   0,     0.7911,    0.0000, -1.597902e-04, -3.732010e-04, -1.597902e+01, -3.732010e+01,
    59,  EL1,      MATEL,   TAX3,   1,     0.7939,    0.0000, -1.612450e-04, -3.724322e-04, -1.612450e+01, -3.724322e+01,
    60,  EL1,      MATEL,   TAX3,   0,     0.7961,    0.0000, -1.611277e-04, -3.718669e-04, -1.611277e+01, -3.718669e+01,
    60,  EL1,      MATEL,   TAX3,   1,     0.7989,    0.0000, -1.625613e-04, -3.711126e-04, -1.625613e+01, -3.711126e+01,
    61,  EL1,      MATEL,   TAX3,   0,     0.8011,    0.0000, -1.624402e-04, -3.705578e-04, -1.624402e+01, -3.705578e+01,
    61,  EL1,      MATEL,   TAX3,   1,     0.8039,    0.0000, -1.638531e-04, -3.698174e-04, -1.638531e+01, -3.698174e+01,
    62,  EL1,      MATEL,   TAX3,   0,     0.8061,    0.0000, -1.637283e-04, -3.692730e-04, -1.637283e+01, -3.692730e+01,
    62,  EL1,      MATEL,   TAX3,   1,     0.8089,    0.0000, -1.651210e-04, -3.685462e-04, -1.651210e+01, -3.685462e+01,
    63,  EL1,      MATEL,   TAX3,   0,     0.8111,    0.0000, -1.649927e-04, -3.680118e-04, -1.649927e+01, -3.680118e+01,
    63,  EL1,      MATEL,   TAX3,   1,     0.8139,    0.0000, -1.663657e-04, -3.672984e-04, -1.663657e+01, -3.672984e+01,
    64,  EL1,      MATEL,   TAX3,   0,     0.8161,    0.0000, -1.662340e-04, -3.667737e-04, -1.662340e+01, -3.667737e+01,
    64,  EL1,      MATEL,   TAX3,   1,     0.8189,    0.0000, -1.675876e-04, -3.660734e-04, -1.675876e+01, -3.660734e+01,
    65,  EL1,      MATEL,   TAX3,   0,     0.8211,    0.0000, -1.674526e-04, -3.655582e-04, -1.674526e+01, -3.655582e+01,
    65,  EL1,      MATEL,   TAX3,   1,     0.8239,    0.0000, -1.687873e-04, -3.648706e-04, -1.687873e+01, -3.648706e+01,
    66,  EL1,      MATEL,   TAX3,   0,     0.8261,    0.0000, -1.686491e-04, -3.643648e-04, -1.686491e+01, -3.643648e+01,
    66,  EL1,      MATEL,   TAX3,   1,     0.8289,    0.0000, -1.699654e-04, -3.636894e-04, -1.699654e+01, -3.636894e+01,
    67,  EL1,      MATEL,   TAX3,   0,     0.8311,    0.0000, -1.698241e-04, -3.631927e-04, -1.698241e+01, -3.631927e+01,
    67,  EL1,      MATEL,   TAX3,   1,     0.8339,    0.0000, -1.711224e-04, -3.625295e-04, -1.711224e+01, -3.625295e+01,
    68,  EL1,      MATEL,   TAX3,   0,     0.8361,    0.0000, -1.709781e-04, -3.620417e-04, -1.709781e+01, -3.620417e+01,
    68,  EL1,      MATEL,   TAX3,   1,     0.8389,    0.0000, -1.722587e-04, -3.613903e-04, -1.722587e+01, -3.613903e+01,
    69,  EL1,      MATEL,   TAX3,   0,     0.8411,    0.0000, -1.721116e-04, -3.609111e-04, -1.721116e+01, -3.609111e+01,
    69,  EL1,      MATEL,   TAX3,   1,     0.8439,    0.0000, -1.733749e-04, -3.602712e-04, -1.733749e+01, -3.602712e+01,
    70,  EL1,      MATEL,   TAX3,   0,     0.8461,    0.0000, -1.732251e-04, -3.598005e-04, -1.732251e+01, -3.598005e+01,
    70,  EL1,      MATEL,   TAX3,   1,     0.8489,    0.0000, -1.744715e-04, -3.591718e-04, -1.744715e+01, -3.591718e+01,
    71,  EL1,      MATEL,   TAX3,   0,     0.8511,    0.0000, -1.743189e-04, -3.587094e-04, -1.743189e+01, -3.587094e+01,
    71,  EL1,      MATEL,   TAX3,   1,     0.8539,    0.0000, -1.755488e-04, -3.580918e-04, -1.755488e+01, -3.580918e+01,
    72,  EL1,      MATEL,   TAX3,   0,     0.8561,    0.0000, -1.753937e-04, -3.576374e-04, -1.753937e+01, -3.576374e+01,
    72,  EL1,      MATEL,   TAX3,   1,     0.8589,    0.0000, -1.766074e-04, -3.570305e-04, -1.766074e+01, -3.570305e+01,
    73,  EL1,      MATEL,   TAX3,   0,     0.8611,    0.0000, -1.764498e-04, -3.565840e-04, -1.764498e+01, -3.565840e+01,
    73,  EL1,      MATEL,   TAX3,   1,     0.8639,    0.0000, -1.776476e-04, -3.559876e-04, -1.776476e+01, -3.559876e+01,
    74,  EL1,      MATEL,   TAX3,   0,     0.8661,    0.0000, -1.774876e-04, -3.555488e-04, -1.774876e+01, -3.555488e+01,
    74,  EL1,      MATEL,   TAX3,   1,     0.8689,    0.0000, -1.786700e-04, -3.549626e-04, -1.786700e+01, -3.549626e+01,
