Time,   1.0000
    23,  EL1,      MATEL,   TAX2,   0,     0.6111,    0.0000, -8.896231e-05, -4.452122e-04, -8.896231e+00, -4.452122e+01,
    23,  EL1,      MATEL,   TAX2,   1,     0.6139,    0.0000, -8.896231e-05, -4.435371e-04, -8.896231e+00, -4.435371e+01,
    24,  EL1,      MATEL,   TAX2,   0,     0.6161,    0.0000, -9.182849e-05, -4.423258e-04, -9.182849e+00, -4.423258e+01,
    24,  EL1,      MATEL,   TAX2,   1,     0.6189,    0.0000, -9.182849e-05, -4.406910e-04, -9.182849e+00, -4.406910e+01,
    25,  EL1,      MATEL,   TAX2,   0,     0.6211,    0.0000, -9.462588e-05, -4.395087e-04, -9.462588e+00, -4.395087e+01,
    25,  EL1,      MATEL,   TAX2,   1,     0.6239,    0.0000, -9.462588e-05, -4.379131e-04, -9.462588e+00, -4.379131e+01,
    26,  EL1,      MATEL,   TAX2,   0,     0.6261,    0.0000, -9.735667e-05, -4.367589e-04, -9.735667e+00, -4.367589e+01,
    26,  EL1,      MATEL,   TAX2,   1,     0.6289,    0.0000, -9.735667e-05, -4.352011e-04, -9.735667e+00, -4.352011e+01,
    27,  EL1,      MATEL,   TAX2,   0,     0.6311,    0.0000, -1.000230e-04, -4.340742e-04, -1.000230e+01, -4.340742e+01,
    27,  EL1,      MATEL,   TAX2,   1,     0.6339,    0.0000, -1.000230e-04, -4.325531e-04, -1.000230e+01, -4.325531e+01,
    28,  EL1,      MATEL,   TAX2,   0,     0.6361,    0.0000, -1.026267e-04, -4.314526e-04, -1.026267e+01, -4.314526e+01,
    28,  EL1,      MATEL,   TAX2,   1,     0.6389,    0.0000, -1.026267e-04, -4.299670e-04, -1.026267e+01, -4.299670e+01,
    29,  EL1,      MATEL,   TAX2,   0,     0.6411,    0.0000, -1.051700e-04, -4.288921e-04, -1.051700e+01, -4.288921e+01,
    29,  EL1,      MATEL,   TAX2,   1,     0.6439,    0.0000, -1.051700e-04, -4.274409e-04, -1.051700e+01, -4.274409e+01,
    30,  EL1,      MATEL,   TAX2,   0,     0.6461,    0.0000, -1.076545e-04, -4.263908e-04, -1.076545e+01, -4.263908e+01,
    30,  EL1,      MATEL,   TAX2,   1,     0.6489,    0.0000, -1.076545e-04, -4.249729e-04, -1.076545e+01, -4.249729e+01,
    31,  EL1,      MATEL,   TAX2,   0,     0.6511,    0.0000, -1.100822e-04, -4.239469e-04, -1.100822e+01, -4.239469e+01,
    31,  EL1,      MATEL,   TAX2,   1,     0.6539,    0.0000, -1.100822e-04, -4.225614e-04, -1.100822e+01, -4.225614e+01,
    32,  EL1,      MATEL,   TAX2,   0,     0.6561,    0.0000, -1.124547e-04, -4.215587e-04, -1.124547e+01, -4.215587e+01,
    32,  EL1,      MATEL,   TAX2,   1,     0.6589,    0.0000, -1.124547e-04, -4.202045e-04, -1.124547e+01, -4.202045e+01,
    33,  EL1,      MATEL,   TAX2,   0,     0.6611,    0.0000, -1.147736e-04, -4.192244e-04, -1.147736e+01, -4.192244e+01,
    33,  EL1,      MATEL,   TAX2,   1,     0.6639,    0.0000, -1.147736e-04, -4.179007e-04, -1.147736e+01, -4.179007e+01,
    34,  EL1,      MATEL,   TAX2,   0,     0.6661,    0.0000, -1.170407e-04, -4.169425e-04, -1.170407e+01, -4.169425e+01,
    34,  EL1,      MATEL,   TAX2,   1,     0.6689,    0.0000, -1.170407e-04, -4.156483e-04, -1.170407e+01, -4.156483e+01,
    35,  EL1,      MATEL,   TAX2,   0,     0.6711,    0.0000, -1.192574e-04, -4.147115e-04, -1.192574e+01, -4.147115e+01,
    35,  EL1,      MATEL,   TAX2,   1,     0.6739,    0.0000, -1.192574e-04, -4.134459e-04, -1.192574e+01, -4.134459e+01,
    36,  EL1,      MATEL,   TAX2,   0,     0.6761,    0.0000, -1.214251e-04, -4.125297e-04, -1.214251e+01, -4.125297e+01,
    36,  EL1,      MATEL,   TAX2,   1,     0.6789,    0.0000, -1.214251e-04, -4.112920e-04, -1.214251e+01, -4.112920e+01,
    37,  EL1,      MATEL,   TAX2,   0,     0.6811,    0.0000, -1.235454e-04, -4.103959e-04, -1.235454e+01, -4.103959e+01,
    37,  EL1,      MATEL,   TAX2,   1,     0.6839,    0.0000, -1.235454e-04, -4.091851e-04, -1.235454e+01, -4.091851e+01,
    38,  EL1,      MATEL,   TAX2,   0,     0.6861,    0.0000, -1.256197e-04, -4.083085e-04, -1.256197e+01, -4.083085e+01,
    38,  EL1,      MATEL,   TAX2,   1,     0.6889,    0.0000, -1.256197e-04, -4.071240e-04, -1.256197e+01, -4.071240e+01,
    39,  EL1,      MATEL,   TAX2,   0,     0.6911,    0.0000, -1.276491e-04, -4.062663e-04, -1.276491e+01, -4.062663e+01,
    39,  EL1,      MATEL,   TAX2,   1,     0.6939,    0.0000, -1.276491e-04, -4.051072e-04, -1.276491e+01, -4.051072e+01,
    40,  EL1,      MATEL,   TAX2,   0,     0.6961,    0.0000, -1.296351e-04, -4.042679e-04, -1.296351e+01, -4.042679e+01,
    40,  EL1,      MATEL,   TAX2,   1,     0.6989,    0.0000, -1.296351e-04, -4.031336e-04, -1.296351e+01, -4.031336e+01,
    41,  EL1,      MATEL,   TAX2,   0,     0.7011,    0.0000, -1.315788e-04, -4.023121e-04, -1.315788e+01, -4.023121e+01,
    41,  EL1,      MATEL,   TAX2,   1,     0.7039,    0.0000, -1.315788e-04, -4.012019e-04, -1.315788e+01, -4.012019e+01,
    42,  EL1,      MATEL,   TAX2,   0,     0.7061,    0.0000, -1.334814e-04, -4.003977e-04, -1.334814e+01, -4.003977e+01,
    42,  EL1,      MATEL,   TAX2,   1,     0.7089,    0.0000, -1.334814e-04, -3.993109e-04, -1.334814e+01, -3.993109e+01,
    43,  EL1,      MATEL,   TAX2,   0,     0.7111,    0.0000, -1.353441e-04, -3.985236e-04, -1.353441e+01, -3.985236e+01,
    43,  EL1,      MATEL,   TAX2,   1,     0.7139,    0.0000, -1.353441e-04, -3.974595e-04, -1.353441e+01, -3.974595e+01,
    44,  EL1,      MATEL,   TAX2,   0,     0.7161,    0.0000, -1.371680e-04, -3.966886e-04, -1.371680e+01, -3.966886e+01,
    44,  EL1,      MATEL,   TAX2,   1,     0.7189,    0.0000, -1.371680e-04, -3.956465e-04, -1.371680e+01, -3.956465e+01,
    45,  EL1,      MATEL,   TAX2,   0,     0.7211,    0.0000, -1.389542e-04, -3.948916e-04, -1.389542e+01, -3.948916e+01,
    45,  EL1,      MATEL,   TAX2,   1,     0.7239,    0.0000, -1.389542e-04, -3.938711e-04, -1.389542e+01, -3.938711e+01,
    46,  EL1,      MATEL,   TAX2,   0,     0.7261,    0.0000, -1.407037e-04, -3.931316e-04, -1.407037e+01, -3.931316e+01,
    46,  EL1,      MATEL,   TAX2,   1,     0.7289,    0.0000, -1.407037e-04, -3.921320e-04, -1.407037e+01, -3.921320e+01,
    47,  EL1,      MATEL,   TAX2,   0,     0.7311,    0.0000, -1.424175e-04, -3.914077e-04, -1.424175e+01, -3.914077e+01,
    47,  EL1,      MATEL,   TAX2,   1,     0.7339,    0.0000, -1.424175e-04, -3.904283e-04, -1.424175e+01, -3.904283e+01,
    48,  EL1,      MATEL,   TAX2,   0,     0.7361,    0.0000, -1.440965e-04, -3.897187e-04, -1.440965e+01, -3.897187e+01,
    48,  EL1,      MATEL,   TAX2,   1,     0.7389,    0.0000, -1.440965e-04, -3.887591e-04, -1.440965e+01, -3.887591e+01,
    49,  EL1,      MATEL,   TAX2,   0,     0.7411,    0.0000, -1.457417e-04, -3.880638e-04, -1.457417e+01, -3.880638e+01,
    49,  EL1,      MATEL,   TAX2,   1,     0.7439,    0.0000, -1.457417e-04, -3.871235e-04, -1.457417e+01, -3.871235e+01,
    50,  EL1,      MATEL,   TAX2,   0,     0.7461,    0.0000, -1.473541e-04, -3.864421e-04, -1.473541e+01, -3.864421e+01,
    50,  EL1,      MATEL,   TAX2,   1,     0.7489,    0.0000, -1.473541e-04, -3.855205e-04, -1.473541e+01, -3.855205e+01,
    51,  EL1,      MATEL,   TAX2,   0,     0.7511,    0.0000, -1.489344e-04, -3.848526e-04, -1.489344e+01, -3.848526e+01,
    51,  EL1,      MATEL,   TAX2,   1,     0.7539,    0.0000, -1.489344e-04, -3.839493e-04, -1.489344e+01, -3.839493e+01,
    52,  EL1,      MATEL,   TAX2,   0,     0.7561,    0.0000, -1.504835e-04, -3.832946e-04, -1.504835e+01, -3.832946e+01,
    52,  EL1,      MATEL,   TAX2,   1,     0.7589,    0.0000, -1.504835e-04, -3.824090e-04, -1.504835e+01, -3.824090e+01,
    53,  EL1,      MATEL,   TAX2,   0,     0.7611,    0.0000, -1.520022e-04, -3.817672e-04, -1.520022e+01, -3.817672e+01,
    53,  EL1,      MATEL,   TAX2,   1,     0.7639,    0.0000, -1.520022e-04, -3.808989e-04, -1.520022e+01, -3.808989e+01,
    54,  EL1,      MATEL,   TAX2,   0,     0.7661,    0.0000, -1.534914e-04, -3.802696e-04, -1.534914e+01, -3.802696e+01,
    54,  EL1,      MATEL,   TAX2,   1,     0.7689,    0.0000, -1.534914e-04, -3.794182e-04, -1.534914e+01, -3.794182e+01,
    55,  EL1,      MATEL,   TAX2,   0,     0.7711,    0.0000, -1.549517e-04, -3.788010e-04, -1.549517e+01, -3.788010e+01,
    55,  EL1,      MATEL,   TAX2,   1,     0.7739,    0.0000, -1.549517e-04, -3.779660e-04, -1.549517e+01, -3.779660e+01,
    56,  EL1,      MATEL,   TAX2,   0,     0.7761,    0.0000, -1.563839e-04, -3.773607e-04, -1.563839e+01, -3.773607e+01,
    56,  EL1,      MATEL,   TAX2,   1,     0.7789,    0.0000, -1.563839e-04, -3.765418e-04, -1.563839e+01, -3.765418e+01,
    57,  EL1,      MATEL,   TAX2,   0,     0.7811,    0.0000, -1.577888e-04, -3.759480e-04, -1.577888e+01, -3.759480e+01,
    57,  EL1,      MATEL,   TAX2,   1,     0.7839,    0.0000, -1.577888e-04, -3.751447e-04, -1.577888e+01, -3.751447e+01,
    58,  EL1,      MATEL,   TAX2,   0,     0.7861,    0.0000, -1.591670e-04, -3.745622e-04, -1.591670e+01, -3.745622e+01,
    58,  EL1,      MATEL,   TAX2,   1,     0.7889,    0.0000, -1.591670e-04, -3.737741e-04, -1.591670e+01, -3.737741e+01,
    59,  EL1,      MATEL,   TAX2,   0,     0.7911,    0.0000, -1.605192e-04, -3.732026e-04, -1.605192e+01, -3.732026e+01,
    59,  EL1,      MATEL,   TAX2,   1,     0.7939,    0.0000, -1.605192e-04, -3.724292e-04, -1.605192e+01, -3.724292e+01,
    60,  EL1,      MATEL,   TAX2,   0,     0.7961,    0.0000, -1.618460e-04, -3.718685e-04, -1.618460e+01, -3.718685e+01,
    60,  EL1,      MATEL,   TAX2,   1,     0.7989,    0.0000, -1.618460e-04, -3.711096e-04, -1.618460e+01, -3.711096e+01,
