Time,   1.0000
      1,   1.0000,   0.0000,   0.0000,    5,    0.0000e+00,  0.0000e+00,  0.0000e+00, -5.6385e-08, -1.9695e-03,      4.3544e-03, -3.7860e-06, -1.9622e-01,  1.1287e-18,  3.8035e-18,      0.0000e+00,  0.0000e+00,  0.0000e+00, -1.1287e-18, -3.8035e-18,
      3,   1.0000,   0.0000,   0.2000,    5,   -2.1426e-04,  9.1062e-10,  1.2272e-04, -1.8255e-07, -1.6371e-04,      4.8475e-16, -2.7756e-17, -1.5266e-16,  1.2114e-17,  6.7458e-18,     -4.8475e-16,  2.7756e-17,  1.5266e-16, -1.2114e-17, -6.7458e-18,
      6,   1.0000,   0.0000,   0.8000,    5,   -1.9420e-04,  1.5401e-09,  5.0685e-04, -1.6210e-06,  1.1873e-04,      9.2389e-17,  1.4198e-16,  6.6613e-16, -8.3223e-18,  5.8162e-18,     -9.2389e-17, -1.4198e-16, -6.6613e-16,  8.3223e-18, -5.8162e-18,
      7,   1.0000,   0.0000,   1.0000,    5,   -1.8800e-04,  9.0939e-09,  6.3471e-04,  1.0678e-06, -5.6129e-05,     -3.0498e-16,  1.5179e-17,  1.6653e-16,  1.0243e-18,  1.2628e-18,      3.0498e-16, -1.5179e-17, -1.6653e-16, -1.0243e-18, -1.2628e-18,
      9,   1.0000,   0.0000,   1.4000,    5,   -1.8939e-04,  8.8535e-09,  8.9033e-04,  1.7652e-08, -1.4317e-05,     -6.6899e-18,  1.6271e-16,  2.1372e-15,  1.5246e-17,  2.0549e-18,      6.6899e-18, -1.6271e-16, -2.1372e-15, -1.5246e-17, -2.0549e-18,
     10,   1.0000,   0.0000,   1.6000,    5,   -1.9013e-04,  5.6845e-09,  1.0181e-03,  1.0495e-06,  7.0158e-06,     -4.4518e-16,  1.6054e-16, -3.4001e-15,  6.8591e-18,  3.3185e-17,      4.4518e-16, -1.6054e-16,  3.4001e-15, -6.8591e-18, -3.3185e-17,
     12,   1.0000,   0.0000,   2.0000,    5,   -1.8963e-04,  1.0456e-08,  1.2738e-03, -2.4324e-07, -3.9536e-06,      1.2890e-16,  2.2135e-16,  3.8025e-15, -1.6010e-17, -2.1444e-17,     -1.2890e-16, -2.2135e-16, -3.8025e-15,  1.6010e-17,  2.1444e-17,
     13,   1.0000,   0.0000,   2.2000,    5,   -1.8921e-04,  1.4281e-08,  1.4017e-03, -3.1213e-07,  8.1194e-06,      2.3849e-16, -3.4014e-16,  3.8719e-15, -1.1811e-17,  1.6856e-17,     -2.3849e-16,  3.4014e-16, -3.8719e-15,  1.1811e-17, -1.6856e-17,
     15,   1.0000,   0.0000,   2.6000,    5,   -1.8876e-04,  1.9618e-08,  1.6573e-03,  1.0275e-06,  1.3224e-05,     -4.3636e-17, -5.1396e-16,  1.8596e-15,  4.8701e-18, -8.2406e-18,      4.3636e-17,  5.1396e-16, -1.8596e-15, -4.8701e-18,  8.2406e-18,
     16,   1.0000,   0.0000,   2.8000,    5,   -1.9007e-04,  1.5467e-08,  1.7852e-03,  1.9632e-07, -2.6727e-05,      1.5620e-16, -8.2926e-16, -4.8572e-16,  3.3717e-18, -7.0535e-18,     -1.5620e-16,  8.2926e-16,  4.8572e-16, -3.3717e-18,  7.0535e-18,
     17,   1.0000,   0.0000,   3.0000,    5,   -1.8721e-04,  1.6607e-08,  1.9130e-03,  1.9635e-07,  5.5307e-05,      3.4969e-16,  5.6796e-16,  7.1054e-15,  4.9318e-19,  2.3815e-17,     -3.4969e-16, -5.6796e-16, -7.1054e-15, -4.9318e-19, -2.3815e-17,
