ConFemMat: ../DataExamples/E04/E4-01
Found specified element set: prop1
Found specified material: mat1 of type: RCBEAM
61, 2, eps 0.001036, kap 0.012200, N  -0.000000, M 0.212339, zt 0.084897, zc 0.200000
62, 2, eps 0.001064, kap 0.012400, N  -0.000000, M 0.212503, zt 0.085790, zc 0.200000
63, 2, eps 0.001092, kap 0.012600, N  -0.000000, M 0.212662, zt 0.086659, zc 0.200000
64, 2, eps 0.001120, kap 0.012800, N  -0.000000, M 0.212817, zt 0.087506, zc 0.200000
65, 2, eps 0.001148, kap 0.013000, N  -0.000000, M 0.212969, zt 0.088332, zc 0.200000
66, 2, eps 0.001177, kap 0.013200, N  -0.000000, M 0.213117, zt 0.089137, zc 0.200000
67, 2, eps 0.001205, kap 0.013400, N  -0.000000, M 0.213263, zt 0.089922, zc 0.200000
68, 2, eps 0.001233, kap 0.013600, N  -0.000000, M 0.213405, zt 0.090687, zc 0.200000
69, 2, eps 0.001262, kap 0.013800, N  -0.000000, M 0.213544, zt 0.091435, zc 0.200000
70, 2, eps 0.001290, kap 0.014000, N  -0.000000, M 0.213680, zt 0.092164, zc 0.200000
71, 2, eps 0.001319, kap 0.014200, N  -0.000000, M 0.213813, zt 0.092876, zc 0.200000
72, 2, eps 0.001347, kap 0.014400, N  -0.000000, M 0.213944, zt 0.093572, zc 0.200000
73, 2, eps 0.001376, kap 0.014600, N  -0.000000, M 0.214072, zt 0.094251, zc 0.200000
74, 2, eps 0.001405, kap 0.014800, N  -0.000000, M 0.214197, zt 0.094916, zc 0.200000
75, 2, eps 0.001433, kap 0.015000, N  -0.000000, M 0.214320, zt 0.095565, zc 0.200000
76, 2, eps 0.001462, kap 0.015200, N  -0.000000, M 0.214441, zt 0.096200, zc 0.200000
77, 2, eps 0.001491, kap 0.015400, N  -0.000000, M 0.214560, zt 0.096821, zc 0.200000
78, 2, eps 0.001520, kap 0.015600, N  -0.000000, M 0.214676, zt 0.097429, zc 0.200000
79, 2, eps 0.001549, kap 0.015800, N  -0.000000, M 0.214790, zt 0.098023, zc 0.200000
80, 2, eps 0.001578, kap 0.016000, N  -0.000000, M 0.214903, zt 0.098605, zc 0.200000
81, 2, eps 0.001607, kap 0.016200, N  -0.000000, M 0.215013, zt 0.099175, zc 0.200000
82, 2, eps 0.001636, kap 0.016400, N  -0.000000, M 0.215122, zt 0.099733, zc 0.200000
83, 2, eps 0.001665, kap 0.016600, N  -0.000000, M 0.215228, zt 0.100279, zc 0.200000
84, 2, eps 0.001694, kap 0.016800, N  -0.000000, M 0.215333, zt 0.100815, zc 0.200000
