   116,    5.202,    0.386,    2.694,  -3.2057e+01, EL3
    15,   15.246,   19.614,    2.478,  -3.1973e+01, EL3
    95,    0.324,    0.501,    0.405,  -3.1922e+01, EL3
   116,    4.944,    0.385,    2.570,  -3.1902e+01, EL3
  1691,   19.080,   18.978,    0.924,  -3.1886e+01, EL1
    13,   16.107,   19.897,    1.978,  -3.1806e+01, EL3
    15,   15.505,   19.615,    2.354,  -3.1730e+01, EL3
    13,   16.363,   19.897,    1.851,  -3.1683e+01, EL3
    95,    0.088,    0.778,    0.430,  -3.1235e+01, EL3
   193,   18.199,   19.432,    1.133,  -3.1153e+01, EL1
   193,   17.951,   19.428,    1.252,  -3.1056e+01, EL1
   113,    3.893,    0.103,    1.978,  -3.0781e+01, EL3
   185,    0.498,    0.862,    0.659,  -3.0722e+01, EL1
   113,    3.636,    0.103,    1.851,  -3.0702e+01, EL3
   197,    1.738,    0.592,    1.114,  -3.0386e+01, EL1
    17,   14.350,   19.613,    2.910,  -3.0248e+01, EL3
   197,    2.012,    0.593,    1.243,  -3.0148e+01, EL1
    17,   14.609,   19.613,    2.785,  -3.0105e+01, EL3
    91,   19.677,   19.491,    0.408,  -3.0070e+01, EL3
   190,    1.145,    0.870,    0.958,  -3.0063e+01, EL1
   190,    1.464,    0.879,    1.108,  -2.9872e+01, EL1
   188,   18.671,   19.135,    1.039,  -2.9860e+01, EL1
    91,   19.914,   19.216,    0.431,  -2.9822e+01, EL3
   193,   17.994,   19.157,    1.340,  -2.8899e+01, EL1
   193,   18.221,   19.182,    1.226,  -2.8819e+01, EL1
   117,    5.392,    0.386,    2.785,  -2.8537e+01, EL3
   117,    5.650,    0.387,    2.910,  -2.8531e+01, EL3
   406,    1.099,    1.101,    1.039,  -2.8257e+01, EL1
   182,   19.512,   19.095,    0.674,  -2.8176e+01, EL1
   188,   18.402,   19.176,    1.145,  -2.7969e+01, EL1
   472,   18.427,   18.998,    1.209,  -2.7818e+01, EL2
   472,   18.657,   18.959,    1.122,  -2.7790e+01, EL2
   472,   18.550,   18.727,    1.269,  -2.7672e+01, EL2
  1691,   18.853,   19.082,    0.980,  -2.7544e+01, EL1
   197,    1.682,    0.882,    1.208,  -2.7468e+01, EL1
   185,    0.696,    0.793,    0.717,  -2.7455e+01, EL1
   197,    1.960,    0.879,    1.334,  -2.7196e+01, EL1
    14,   15.662,   19.897,    2.199,  -2.7172e+01, EL3
    14,   15.919,   19.897,    2.071,  -2.7108e+01, EL3
   406,    1.424,    1.098,    1.183,  -2.7057e+01, EL1
    18,   14.161,   19.612,    3.001,  -2.7013e+01, EL3
    18,   13.902,   19.611,    3.125,  -2.7009e+01, EL3
   185,    0.544,    1.083,    0.785,  -2.6750e+01, EL1
   118,    6.098,    0.388,    3.125,  -2.6261e+01, EL3
   118,    5.840,    0.388,    3.001,  -2.6232e+01, EL3
   405,    1.646,    1.094,    1.280,  -2.6200e+01, EL1
   194,   17.512,   19.419,    1.462,  -2.6132e+01, EL1
   194,   17.767,   19.424,    1.341,  -2.6110e+01, EL1
   198,    2.209,    0.593,    1.336,  -2.6094e+01, EL1
   198,    2.475,    0.591,    1.460,  -2.6037e+01, EL1
   471,   18.036,   18.952,    1.404,  -2.6037e+01, EL1
   114,    4.339,    0.103,    2.199,  -2.5953e+01, EL3
   471,   18.274,   18.978,    1.287,  -2.5933e+01, EL1
   405,    1.926,    1.088,    1.403,  -2.5772e+01, EL1
   182,   19.296,   19.129,    0.756,  -2.5759e+01, EL1
   421,   19.046,   18.804,    1.018,  -2.5645e+01, EL1
   114,    4.082,    0.103,    2.071,  -2.5613e+01, EL3
   194,   17.558,   19.140,    1.547,  -2.5141e+01, EL1
   194,   17.817,   19.146,    1.426,  -2.5121e+01, EL1
    19,   13.454,   19.611,    3.340,  -2.5035e+01, EL3
    19,   13.713,   19.611,    3.216,  -2.5003e+01, EL3
   198,    2.160,    0.877,    1.424,  -2.4756e+01, EL1
   198,    2.429,    0.874,    1.546,  -2.4692e+01, EL1
   470,   17.853,   18.940,    1.490,  -2.4668e+01, EL1
