  1580,   13.921,    6.354,    5.715,  -1.6879e-01
  1535,   13.836,    5.845,    5.797,  -1.6826e-01
  1598,   13.387,    6.416,    5.607,  -1.6805e-01
  1581,   13.974,    6.853,    5.625,  -1.6800e-01
  1537,   13.320,    5.898,    5.681,  -1.6781e-01
  1481,   14.461,    6.329,    5.819,  -1.6732e-01
  1614,   13.478,    6.907,    5.538,  -1.6716e-01
  1482,   14.487,    6.831,    5.711,  -1.6676e-01
  1531,   14.428,    5.766,    5.938,  -1.6625e-01
  1582,   14.014,    7.330,    5.536,  -1.6623e-01
  1466,   13.755,    5.351,    5.873,  -1.6603e-01
  1534,    6.074,   13.654,    5.717,  -1.6597e-01
  1566,   12.801,    5.937,    5.569,  -1.6588e-01
  1468,   13.259,    5.399,    5.750,  -1.6580e-01
  1600,   12.848,    6.458,    5.504,  -1.6579e-01
  1544,    6.160,   14.159,    5.799,  -1.6569e-01
  1615,   13.545,    7.362,    5.468,  -1.6545e-01
  1490,   14.508,    7.318,    5.605,  -1.6510e-01
  1536,    6.013,   13.161,    5.630,  -1.6498e-01
  1545,    6.672,   14.110,    5.684,  -1.6496e-01
  1642,    6.601,   13.610,    5.614,  -1.6496e-01
  1465,    5.535,   13.673,    5.820,  -1.6476e-01
  1464,   14.158,    5.256,    5.986,  -1.6444e-01
  1519,   12.757,    5.433,    5.630,  -1.6413e-01
  1699,   12.921,    7.084,    5.426,  -1.6403e-01
  1530,    5.570,   14.234,    5.938,  -1.6399e-01
  1686,   13.225,    7.415,    5.417,  -1.6395e-01
  1467,    5.506,   13.173,    5.713,  -1.6392e-01
  1644,    6.524,   13.107,    5.540,  -1.6381e-01
  1583,   14.033,    7.797,    5.444,  -1.6368e-01
  1476,    6.243,   14.649,    5.873,  -1.6366e-01
  1477,    6.738,   14.603,    5.751,  -1.6319e-01
  1565,    5.968,   12.681,    5.540,  -1.6318e-01
  1451,   15.001,    6.333,    5.917,  -1.6308e-01
  1579,   12.282,    5.960,    5.461,  -1.6308e-01
  1616,   13.578,    7.792,    5.395,  -1.6307e-01
  1450,   15.006,    6.832,    5.793,  -1.6288e-01
  1546,    7.185,   14.072,    5.573,  -1.6274e-01
  1601,   12.308,    6.481,    5.406,  -1.6272e-01
  1491,   14.519,    7.798,    5.497,  -1.6256e-01
  1645,    6.406,   12.693,    5.484,  -1.6248e-01
  1641,    7.124,   13.565,    5.513,  -1.6245e-01
  1469,    5.841,   14.742,    5.986,  -1.6226e-01
  1520,    5.483,   12.686,    5.607,  -1.6215e-01
