Time,   0.1000
      1,   0.0000,   0.0000,   0.0000,    2,    3.3650e-06, -1.2499e-06,     -4.7439e-08, -3.3880e-08,      4.7439e-08,  3.3880e-08,
      2,   0.0250,   0.0000,   0.0000,    2,    4.7947e-06, -5.2813e-06,      1.3683e-08,  9.9306e-08,     -1.3683e-08, -9.9306e-08,
      3,   0.0500,   0.0000,   0.0000,    2,    6.2220e-06, -1.3235e-05,      1.3685e-07,  7.8383e-09,     -1.3685e-07, -7.8383e-09,
      4,   0.0750,   0.0000,   0.0000,    2,    7.1013e-06, -1.9443e-05,      2.1687e-08, -4.3269e-08,     -2.1687e-08,  4.3269e-08,
      5,   0.1000,   0.0000,   0.0000,    2,    8.5246e-06, -2.3794e-05,     -1.0156e-08,  1.3081e-08,      1.0156e-08, -1.3081e-08,
      6,   0.1250,   0.0000,   0.0000,    2,    1.0011e-05, -2.7354e-05,     -9.9537e-09,  2.1831e-08,      9.9537e-09, -2.1831e-08,
      7,   0.1500,   0.0000,   0.0000,    2,    1.1556e-05, -3.0367e-05,     -1.3411e-08,  2.7491e-08,      1.3411e-08, -2.7491e-08,
      8,   0.1750,   0.0000,   0.0000,    2,    1.3197e-05, -3.2937e-05,     -1.8213e-08,  3.5310e-08,      1.8213e-08, -3.5310e-08,
      9,   0.2000,   0.0000,   0.0000,    2,    1.4957e-05, -3.5085e-05,     -2.2251e-08,  4.3867e-08,      2.2251e-08, -4.3867e-08,
     10,   0.2250,   0.0000,   0.0000,    2,    1.6844e-05, -3.6799e-05,     -2.3306e-08,  5.3918e-08,      2.3306e-08, -5.3918e-08,
     11,   0.2500,   0.0000,   0.0000,    2,    1.8844e-05, -3.8056e-05,     -2.1483e-08,  5.6127e-08,      2.1483e-08, -5.6127e-08,
     12,   0.0000,   0.0250,   0.0000,    2,    9.4555e-06, -3.7105e-06,      2.6422e-08, -1.0387e-07,     -2.6422e-08,  1.0387e-07,
     13,   0.0250,   0.0250,   0.0000,    2,    1.0263e-05, -8.8259e-06,      4.2924e-08,  6.2372e-08,     -4.2924e-08, -6.2372e-08,
     14,   0.0500,   0.0250,   0.0000,    2,    1.1125e-05, -1.4348e-05,     -1.0283e-08, -8.8402e-08,      1.0283e-08,  8.8402e-08,
     15,   0.0750,   0.0250,   0.0000,    2,    1.1697e-05, -1.9663e-05,      4.5917e-08, -6.2811e-08,     -4.5917e-08,  6.2811e-08,
     16,   0.1000,   0.0250,   0.0000,    2,    1.2303e-05, -2.4032e-05,      3.7818e-08, -2.4719e-08,     -3.7818e-08,  2.4719e-08,
     17,   0.1250,   0.0250,   0.0000,    2,    1.3177e-05, -2.7595e-05,      1.8026e-08, -3.2307e-09,     -1.8026e-08,  3.2307e-09,
